Guess No.,obj_f,C_0,N_0,kn,r_18
638,0.0515,0.000108,0.0626,2.55,37.7
1012,0.0518,0.000134,0.0635,2.4,35.6
440,0.0765,1.72e-05,0.0585,2.94,53.6
803,0.106,1.12e-05,0.0585,2.62,56.4
